Countries	PIB	1/Desemprego	Income Tax Rate (%)	1/Infl	Inc. PIB per Capita (%)	Reservas Totais	R (% do PIB)/D (% do PIB)	Pop. Act. (%) (15 - 65)	Despesas do Governo em Edu. (% do PIB)	Taxa de alfab.	Valor agregado	P&D (% do PIB)	Export de Alta Tecno (US$)	Import. Bens e Serv (% do PIB)	GINI	1/Pop. favelas	ECI_2019	Class	Overall score
Mauritius	1062.0336	0.139497252	24	0.362108922	-0.145441743	6390608304	0.969838669	70.70300149	4.839723873	98.58618927	4.800360761	0.356635	21029553.2	53.00624652	37.65		-0.188049	3	74.18
Mexico	970.87	0.214362272	26.4	0.237079184	-1.429910672	1.82392E+11	0.939810323	66.20122255	4.559823195	98.94313219	44.39865559	0.343106667	70610470158	39.37496204	47.44	0.0625	1.312402	1	64.94
Moldova	26.5652	0.142519169	13.6	0.210216523	3.635385393	2969534855	0.992215277	72.69189937	5.692800045	99.81101227	18.18308329	0.260773333	21650696.8	54.01753589	27.33333333	0.016299918	-0.156	3	60.66
Mongolia	152.9886	0.148354746	16	0.30273674	1.356102873	3355878834	1.01186642	65.56324311	5.095777512	98.85216904	3.999336383	0.140123333	21414024.25	59.09958721	32.94	0.026109661	-0.95565	3	58.66
Morocco	136.3638	0.105612234	31	0.728756741	-0.32529055	27631454897	1.027981383	65.74980166		90.15367889	23.58655694		801142311.4	46.38932017	39.5	0.103626942	-0.523393	3	62.12
Mozambique	79.8224	0.060227902	34.2	0.116950857	-0.505563828	3356273285	1.276686202	52.45885139	5.763194919	70.7187767	10.8876387	0.31312	15642845.6	72.66126047	54	0.012995452	-1.252757	3	49.66
Namibia	420.797	0.063631042	39	0.218007412	-3.67619227	2127241038	1.043121252	59.47696996	9.658012009	94.79217148	7.348910064	0.35209	7118675.8	48.49053957	59.1	0.023640662	-0.222108	3	59.98
Netherlands	464.0016	0.213620439	42.8	0.463735856	0.535366924	42010179046	1.030841565	64.6754041	5.337449869		51.19267332	2.04789	81675906827	71.25612884	28.25555556		1.110004	1	77.26
New Zealand	287.3764	0.195802005	36.2	0.467901928	0.811615649	17539101756	1.074013469	64.69584984	6.240009944		21.10862	1.34692	594410001.6	25.98007386			0.23424	2	83.44
Nicaragua	542.9186	0.182202463	29.4	0.199385891	-1.207476753	2615209672	1.072648907	64.53419233	3.861052513	91.57177734		0.097508	15722338.8	51.67166129	46.2	0.023419203	-0.880435	3	56.98
Nigeria	461.977	0.137005069	23.4	0.104556576	-2.255359256	36949163007		53.42307849		75.02874756	33.43626105		68617354	15.71292017	35.1	0.018552875	-1.773231	3	57.22
North Macedonia	458.8578	0.07699652	27.92	0.269774469	1.07674328	3322911044	0.953571421	69.79963367		98.84674454	31.89286268	0.385156667	197535774.2	70.88873029	35.775	0.120481925	0.040919	2	69.24
Norway	263.031	0.258718824	28.68	0.535561268	0.181356713	66343871670	1.191104327	65.4062642	7.862213453		46.4411607	2.072143333	4321661925	33.28325432	26.94444444	999.9999525	0.559251	2	74.2
Oman	755.8398	0.146661973	13	0.418971007	-3.098460664	17081705937		75.38279938	5.486876647	98.84637604	33.47064991	0.236066667	57264965.33	39.44537457			-0.443003	3	61.36
Pakistan	478.0552	0.22810219	29	0.276640478	1.331222081	17485684971		60.41324577	2.803329945	72.42988041	24.61546527	0.23627	350339617.2	18.30656301	30.025	0.02472188	-0.664463	3	52.94
Panama	61.6028	0.198846689	31.8	0.561041293	-1.807343709	4341743597	0.953623977	64.825472	2.934652567	98.99041367	7.714524001	0.14604	1142398111	43.30055825	50.56666667	0.045248868	0.239367	2	66.6
Paraguay	306.851	0.202864446	18	0.338684549	0.956877128	7875213409	1.09979213	64.11943274	3.280866702	98.52206326	21.82669174	0.137323333	71207507.2	32.74751313	47.77	0.058479531	-0.447032	3	62.48
Peru	746.7596	0.269019692	32	0.402673754	-1.275335347	65688852973	0.93993284	66.04491239	3.905083942	99.01233128	14.84130446	0.122693333	192248022.8	22.60388165	43.42	0.029895367	-0.795222	3	67.72
Philippines	1084.031	0.248311482	33.2	0.35870579	1.941907424	88156179783	1.087930611	63.89589786	3.584367514	98.52515411	46.51972176	0.133706667	34012680694	37.82292353	44.46666667	0.023148148	0.949998	2	63.7
