id	year	y	alav	roa	folga	bnp	finep	exp	ener	bndesdummy	roe	logporte	ti	LL	lucrativ	
BTOW3 BZ Equity	2006							0								
BTOW3 BZ Equity	2007		0.356036	0.034361364	0.03434216	0.08506929	0	0		0	0.030921426	8.163158392		62.204	0.427228209	
BTOW3 BZ Equity	2008	1	0.469322	0.026174368	0.293777535	0.063562931	0	0	0	1	0.192868659	9.398347533	1	61.768	0.024684027	
BTOW3 BZ Equity	2009	2	0.610582	0.02048298	0.2107046	0.170420439	0	0	0	1	0.297546618	9.493724402	1	47.609	0.015274418	
BTOW3 BZ Equity	2010	2	0.647049	0.010456679	0.3912477	0	0	0	0	0	0.192773963	9.578968416	1	33.587	0.00885529	
BTOW3 BZ Equity	2011	1	0.516107	-0.021801323	0.348878751	0	0	0	0	0	0.14865122	9.609975077	1	-89.168	-0.021889405	
BTOW3 BZ Equity	2012	1	0.576352	-0.035654067	0.275106152	0.240689386	0	0	0	1	-0.078296665	9.626559718	1	-170.667	-0.040326436	
BTOW3 BZ Equity	2013	1	0.541417	-0.024126798	0.235040494	0	0	0	0	0	-0.176124572	9.682365238	1	-159.562	-0.033156161	
BTOW3 BZ Equity	2014	2	0.250108	-0.021390144	0.095650074	0	0	0	0	0	-0.192319143	9.78451031	1	-163.313	-0.026823191	
BTOW3 BZ Equity	2015	1	0.422299	-0.042055402	0.176009606	0	0	0	0	0	-0.053033051	9.901122253	1	-418.384	-0.052535493	
CAMB4 BZ Equity	2006							1								
CAMB4 BZ Equity	2007		0.357171	-0.05299423	-0.082276578	0	0	1		0	0.057158095	8.130182543		-7.145	-0.052944358	
CAMB4 BZ Equity	2008		0.453722	-0.024457132	0.103462741	0	0	1	0	0	0.20200164	8.165422401	0	-4.138	-0.028272752	
CAMB4 BZ Equity	2009		0.374022	0.425611247	0.587652128	0	0	1	0	0	0.104587388	8.331510301	0	69.63	0.324553349	
CAMB4 BZ Equity	2010		0.40644	0.052862426	0.362535216	0	0	1	0	0	3.115296855	8.348150983	0	9.449	0.042387213	
CAMB4 BZ Equity	2011		0.502448	0.028046095	0.271489707	0	0	1	0	0	0.272313323	8.394027687	0	6.559	0.026473414	
CAMB4 BZ Equity	2012		0.643402	-0.113289459	0.171520068	0	0	1	0	0	0.162018625	8.445250709	0	-27.818	-0.099787282	
CAMB4 BZ Equity	2013	4	0.60761	0.000980065	0.176658301	0	0	1	0	0	-1.969694824	8.4380231	0	0.264	0.000962899	
CAMB4 BZ Equity	2014	4	0.560199	0.051979542	0.074437054	0	0	1	0	0	0.01484397	8.452226645	0	14.127	0.049868155	
CAMB4 BZ Equity	2015	4	0.576615	-0.10504186	-0.303634946	0	0	1	0	0	0.459638848	8.453110318	0	-28.105	-0.09900868	
CBEE3 BZ Equity	2006							1								
CBEE3 BZ Equity	2007		0.380763	0.031885415	0.259555197	0.007824024	0	1		0	0.130443062	9.343775767		153.331	0.069479103	
CBEE3 BZ Equity	2008	4	0.339469	0.062709697	0.346544815	0	0	1	1	0	0.096919984	9.327705414	0	281.386	0.132311341	
CBEE3 BZ Equity	2009	4	0.331733	0.080091086	0.484154717	0.07355192	0	1	1	1	0.182020594	9.389401603	0	360.86	0.147209942	
CBEE3 BZ Equity	2010	4	0.286618	0.050095442	0.075366497	0	0	1	1	0	0.232214838	9.498442614	0	216.092	0.068579778	
CBEE3 BZ Equity	2011	3	0.303009	0.045154362	0.022165882	0.09663407	0	1	1	1	0.136467465	9.498968391	0	210.352	0.066677338	
CBEE3 BZ Equity	2012	3	0.259347	0.094351595	0.087416173	0	0	1	1	0	0.128597769	9.520138974	0	493.376	0.148949499	
CBEE3 BZ Equity	2013	3	0.267142	0.090164922	0.279714688	0.083434654	0	1	1	1	0.240339902	9.567142751	0	515.059	0.139544984	
CBEE3 BZ Equity	2014	3	0.290071	0.031248792	0.227136698	1.6039E-10	0	1	1	1	0.207616015	9.585396652	0	194.83	0.050612662	
CBEE3 BZ Equity	2015	3	0.343366	-0.004506475	0.06263044	1.27901E-10	0	1	1	1	0.075131923	9.660997453	0	-35.234	-0.007690676	
CEBR5 BZ Equity	2006							0								
CEBR5 BZ Equity	2007		0.09851	0.088185599	0.107239265	0	0	0		1	-0.418143261	8.954843832		120.302	0.133483939	
CEBR5 BZ Equity	2008		0.047334	0.040662619	-0.111167152	0	0	0	1	0	0.356120102	8.941455279	0	66.941	0.076601437	
CEBR5 BZ Equity	2009	3	0.23433	0.026241206	-0.032201035	0	0	0	1	0	0.120155658	8.979399032	0	52.535	0.055087074	
CEBR5 BZ Equity	2010	3	0.229343	0.00096187	-0.074197907	0	0	0	1	0	0.073794129	9.078744923	0	2.049	0.001709216	
CEBR5 BZ Equity	2011	3	0.196049	0.01206754	-0.094581183	0	0	0	1	0	0.002827732	9.108698268	0	26.19	0.020390939	
CEBR5 BZ Equity	2012	3	0.16434	0.023113144	0.048317482	0.039058434	0	0	1	1	0.03510578	9.139129124	0	55.285	0.040130834	
CEBR5 BZ Equity	2013	3	0.107337	-0.03927213	-0.228613664	0	0	0	1	0	0.08425819	9.212062893	0	-95.621	-0.058680038	
CEBR5 BZ Equity	2014	3	0.118499	-0.039156374	-0.081684946	3.69027E-10	0	0	1	1	-0.176174175	9.206467773	0	-106.107	-0.065959334	
CEBR5 BZ Equity	2015	3	0.122008	0.01933371	0.12329911	2.98978E-10	0	0	1	1	-0.263853903	9.326905601	0	64.666	0.030462841	
CEEB3 BZ Equity	2006							0								
CEEB3 BZ Equity	2007		0.384379	0.144213836	0.345314768	0.028050168	0	0		1	0.415697581	9.436852992		647.416	0.236772051	
CEEB3 BZ Equity	2008	2	0.378504	0.192355271	0.321256048	0.037684688	0	0	1	1	0.431557729	9.462133447	0	814.805	0.281138445	
CEEB3 BZ Equity	2009	2	0.308696	0.18655893	0.469450453	0.149824712	1	0	1	1	0.499511098	9.49347255	0	887.625	0.284942333	
CEEB3 BZ Equity	2010	2	0.387426	0.175976041	0.904562102	0	0	0	1	0	0.418598828	9.601639173	0	945.719	0.236658954	
CEEB3 BZ Equity	2011	1	0.44372	0.125048237	0.71389068	0.112364794	0	0	1	1	0.397910476	9.642892075	0	750.49	0.170786223	
CEEB3 BZ Equity	2012	2	0.456424	0.094946188	0.292910908	0.123118457	1	0	1	1	0.32659294	9.696125548	0	663.006	0.133472535	
CEEB3 BZ Equity	2013	2	0.449061	0.064864718	0.20997067	0	0	0	1	0	0.328999152	9.764446193	0	495.129	0.085167161	
CEEB3 BZ Equity	2014	2	0.432827	0.055102395	0.123736366	1.19979E-10	0	0	1	1	0.19866436	9.690533104	0	459.267	0.093655252	
CEEB3 BZ Equity	2015	2	0.436732	0.040017963	0.183414117	1.03594E-10	0	0	1	1	0.164767442	9.751070069	0	386.295	0.068524996	
CEED3 BZ Equity	2006							0								
CEED3 BZ Equity	2007		0.102282	0.003534778	-0.145302316	0	0	0		0				6.299		
CEED3 BZ Equity	2008	2	0.107216	0.008508503	-0.164761455	0	0	0	1	0	0.394130897	9.133929598	0	15.908	0.011686541	
CEED3 BZ Equity	2009	2	0.114443	0.479877614	0.968468816	0	0	0	1	0	0.63964616	9.204759824	0	1932.9	1.206283985	
CEED3 BZ Equity	2010	1	0.157934	-0.051637843	-0.39358202	0.03844982	0	0	1	1	0.987352751	9.240372999	0	-194.734	-0.11196152	
CEED3 BZ Equity	2011	2	0.129996	-0.052985881	0.077311769	0	0	0	1	0	-0.136291039	9.260438474	0	-202.892	-0.111384933	
CEED3 BZ Equity	2012	3	0.163935	-0.063188276	0.244884077	0	0	0	1	0	-0.165502097	9.307175226	0	-220.703	-0.108801031	
CEED3 BZ Equity	2013	3	0.150479	-0.076251792	-0.174525195	0	0	0	1	0	-0.329664798	9.340235842	0	-228.571	-0.104420384	
CEED3 BZ Equity	2014	3	0.130447	-0.150323159	-0.280933267	3.37591E-10	0	0	1	1	-0.447003076	9.354822516	0	-445.282	-0.196703743	
CEED3 BZ Equity	2015	2	0.14473	-0.155081298	-0.293040496	3.01571E-10	0	0	1	1		9.454693059	0	-514.244	-0.180499571	
CELP5 BZ Equity	2006							1								
CELP5 BZ Equity	2007		0.166344	0.033110129	0.163737471	0.130240039	0	1		1	0.061798374	9.052712406		114.217	0.101162218	
CELP5 BZ Equity	2008	2	0.280425	-0.001032593	-0.075177293	0	0	1	1	0	0.102757393	9.052882775	0	-3.875	-0.003430749	
CELP5 BZ Equity	2009	2	0.290752	0.022071192	-0.034701954	0	0	1	1	0	-0.003632614	9.101613398	0	88.056	0.069686003	
CELP5 BZ Equity	2010	2	0.382319	-0.023875113	0.045863891	0	0	1	1	0	0.088730887	9.198731295	0	-100.735	-0.063745436	
CELP5 BZ Equity	2011	1	0.444379	-0.089754942	-0.639159145	0	0	1	1	0	-0.112974803	9.32448021	0	-391.162	-0.185300439	
CELP5 BZ Equity	2012	2	0.418917	-0.155898673	-0.314040165	0.110223436	0	1	1	1	-0.781547142	9.386284887	0	-704.469	-0.289452297	
CELP5 BZ Equity	2013	2	0.343266	-0.051185797	-0.053847023	0.193118927	0	1	1	1		9.371058807	0	-228.787	-0.0973582	
CELP5 BZ Equity	2014	1	0.372276	0.057113602	0.042634916	1.65443E-10	0	1	1	1	-0.580564204	9.397069506	0	345.217	0.13836386	
