date,val,type
2011-8,1642.1,Nuclear
2011-8,3478.6,Termica
2011-9,342.4,Eolica
2011-9,51912.1,Hidreletrica
2011-9,1603.4,Nuclear
2011-9,3247.4,Termica
2011-10,354.1,Eolica
2011-10,50874.6,Hidreletrica
2011-10,1588.1,Nuclear
2011-10,3793.3,Termica
2011-11,408.9,Eolica
2011-11,51007.1,Hidreletrica
2011-11,1958,Nuclear
2011-11,3839.8,Termica
2011-12,374.4,Eolica
2011-12,51906.5,Hidreletrica
2011-12,1978.5,Nuclear
2011-12,3681.3,Termica
2012-1,343.8,Eolica
2012-1,53425.9,Hidreletrica
2012-1,1894.8,Nuclear
2012-1,2750.4,Termica
2012-2,272.3,Eolica
2012-2,56622.3,Hidreletrica
2012-2,1658.8,Nuclear
2012-2,3297.4,Termica
2012-3,237.9,Eolica
2012-3,57455.5,Hidreletrica
2012-3,689.8,Nuclear
2012-3,4263.6,Termica
2012-4,259.4,Eolica
2012-4,51444.7,Hidreletrica
2012-4,1953.8,Nuclear
2012-4,6156.5,Termica
2012-5,288.3,Eolica
2012-5,49002.4,Hidreletrica
2012-5,1985.1,Nuclear
2012-5,5910.3,Termica
2012-6,276.6,Eolica
2012-6,49329.7,Hidreletrica
2012-6,1980,Nuclear
2012-6,4816.6,Termica
2012-7,373.3,Eolica
2012-7,49906.2,Hidreletrica
2012-7,1986,Nuclear
2012-7,3675.6,Termica
2012-8,459.2,Eolica
2012-8,50630.5,Hidreletrica
2012-8,1977.3,Nuclear
2012-8,4546.8,Termica
2012-9,492.2,Eolica
2012-9,48078.4,Hidreletrica
2012-9,1949.9,Nuclear
2012-9,7833.9,Termica
2012-10,462.4,Eolica
2012-10,47683.4,Hidreletrica
2012-10,1988.7,Nuclear
2012-10,9912,Termica
2012-11,414.1,Eolica
2012-11,44339,Hidreletrica
2012-11,1988.5,Nuclear
2012-11,11835,Termica
2012-12,450.8,Eolica
2012-12,47027.5,Hidreletrica
2012-12,1869.4,Nuclear
2012-12,11413.2,Termica
2013-1,397.9,Eolica
2013-1,46231.5,Hidreletrica
2013-1,1401.7,Nuclear
2013-1,12244.4,Termica
2013-2,444.1,Eolica
2013-2,49109.7,Hidreletrica
2013-2,1332.4,Nuclear
2013-2,12152.3,Termica
2013-3,406.3,Eolica
2013-3,48877.8,Hidreletrica
2013-3,1730.7,Nuclear
2013-3,10978.8,Termica
2013-4,319.5,Eolica
2013-4,47901.9,Hidreletrica
2013-4,1632.9,Nuclear
2013-4,10459.5,Termica
2013-5,326.2,Eolica
2013-5,44911.5,Hidreletrica
2013-5,730.7,Nuclear
2013-5,12309.4,Termica
2013-6,346.9,Eolica
2013-6,43915.7,Hidreletrica
2013-6,1880.4,Nuclear
2013-6,11588.4,Termica
2013-7,399.3,Eolica
2013-7,46322.5,Hidreletrica
2013-7,1761.8,Nuclear
2013-7,9958.1,Termica
2013-8,550.9,Eolica
2013-8,47119.3,Hidreletrica
2013-8,1809.6,Nuclear
2013-8,10554,Termica
2013-9,617.6,Eolica
2013-9,47828.7,Hidreletrica
2013-9,1884.5,Nuclear
2013-9,10573.1,Termica
2013-10,662.5,Eolica
2013-10,48791.5,Hidreletrica
2013-10,1970.3,Nuclear
2013-10,10454,Termica
2013-11,691.6,Eolica
2013-11,48253.5,Hidreletrica
2013-11,1987.7,Nuclear
2013-11,11246,Termica
2013-12,573.9,Eolica
2013-12,49356.5,Hidreletrica
2013-12,1905.9,Nuclear
2013-12,10253.3,Termica
2014-1,630.3,Eolica
2014-1,53193.7,Hidreletrica
2014-1,1981.3,Nuclear
2014-1,11212,Termica
2014-2,660.5,Eolica
2014-2,52366.8,Hidreletrica
2014-2,1984.5,Nuclear
2014-2,14337.6,Termica
2014-3,603.2,Eolica
2014-3,47965.2,Hidreletrica
2014-3,1910.4,Nuclear
2014-3,14871.3,Termica
2014-4,576.2,Eolica
2014-4,46392.8,Hidreletrica
2014-4,1364.1,Nuclear
2014-4,14604.3,Termica
2014-5,572.8,Eolica
2014-5,42949.4,Hidreletrica
2014-5,1878.6,Nuclear
2014-5,14764.7,Termica
2014-6,1016.1,Eolica
2014-6,41638.8,Hidreletrica
2014-6,1932.4,Nuclear
2014-6,13991.6,Termica
2014-7,1344.7,Eolica
2014-7,41640.1,Hidreletrica
2014-7,1245.8,Nuclear
2014-7,14488,Termica
2014-8,1590.5,Eolica
2014-8,40523.1,Hidreletrica
2014-8,847.7,Nuclear
2014-8,16247.1,Termica
2014-9,1591.6,Eolica
2014-9,43072.6,Hidreletrica
2014-9,2018.4,Nuclear
2014-9,14820.3,Termica
2014-10,1827.5,Eolica
2014-10,43592.6,Hidreletrica
2014-10,2014.6,Nuclear
2014-10,15423,Termica
2014-11,1558.6,Eolica
2014-11,43180.3,Hidreletrica
2014-11,1944.6,Nuclear
2014-11,15735.7,Termica
2014-12,1605.6,Eolica
2014-12,42532.4,Hidreletrica
2014-12,2005.9,Nuclear
2014-12,15923.5,Termica
2015-1,2117.7,Eolica
2015-1,49834.4,Hidreletrica
2015-1,1959.8,Nuclear
2015-1,1.8,Solar
2015-1,15446.7,Termica
2015-2,1838.1,Eolica
2015-2,48566.4,Hidreletrica
2015-2,1713.1,Nuclear
2015-2,1.6,Solar
2015-2,15754.6,Termica
2015-3,1520.9,Eolica
2015-3,47775.3,Hidreletrica
2015-3,1777.6,Nuclear
2015-3,1.5,Solar
2015-3,15913.4,Termica
2015-4,1392.8,Eolica
2015-4,44985.4,Hidreletrica
2015-4,2014.8,Nuclear
2015-4,1.6,Solar
2015-4,16097.4,Termica
2015-5,2130.6,Eolica
2015-5,42456.5,Hidreletrica
2015-5,1517,Nuclear
2015-5,1.3,Solar
2015-5,15907.4,Termica
2015-6,2298,Eolica
2015-6,40074.5,Hidreletrica
2015-6,1378.7,Nuclear
2015-6,1.3,Solar
2015-6,17516.5,Termica
2015-7,2621.8,Eolica
2015-7,41362.6,Hidreletrica
2015-7,1836.7,Nuclear
2015-7,1.3,Solar
2015-7,15399,Termica
2015-8,3485.7,Eolica
2015-8,40918.4,Hidreletrica
2015-8,1834.5,Nuclear
2015-8,3.2,Solar
2015-8,15916.7,Termica
2015-9,3131,Eolica
2015-9,42636.6,Hidreletrica
2015-9,1583.5,Nuclear
2015-9,3.3,Solar
2015-9,16668,Termica
2015-10,3409.9,Eolica
2015-10,45218.9,Hidreletrica
2015-10,692.3,Nuclear
2015-10,4,Solar
2015-10,16571.3,Termica
2015-11,2938,Eolica
2015-11,45048.4,Hidreletrica
2015-11,1980.2,Nuclear
2015-11,3.9,Solar
2015-11,15426,Termica
2015-12,3049.8,Eolica
2015-12,45954,Hidreletrica
2015-12,2004.3,Nuclear
2015-12,3.7,Solar
2015-12,13872.3,Termica
2016-1,1858.3,Eolica
2016-1,48677.5,Hidreletrica
